N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,Detail URL,CODE
1,삼성전자,"49,350",500,-1.00%,100,"2,946,088","5,969,783",55.22,"15,555,003",15.59,8.69,https://finance.naver.com/item/main.nhn?code=005930,005930
2,SK하이닉스,"81,400","1,200",-1.45%,"5,000","592,594","728,002",48.41,"3,182,862",29.44,4.25,https://finance.naver.com/item/main.nhn?code=000660,000660
3,삼성바이오로직스,"591,000","10,000",-1.66%,"2,500","391,035","66,165",10.42,"397,916",192.70,4.77,https://finance.naver.com/item/main.nhn?code=207940,207940
4,삼성전자우,"42,500",500,-1.16%,100,"349,727","822,887",88.69,"1,565,122",13.42,N/A,https://finance.naver.com/item/main.nhn?code=005935,005935
5,NAVER,"192,500","2,500",+1.32%,100,"316,207","164,263",57.83,"927,247",54.41,10.56,https://finance.naver.com/item/main.nhn?code=035420,035420
6,셀트리온,"211,500","2,500",-1.17%,"1,000","284,905","134,707",20.16,"1,069,375",95.66,11.19,https://finance.naver.com/item/main.nhn?code=068270,068270
7,LG화학,"353,500","7,500",-2.08%,"5,000","249,544","70,592",37.41,"269,394",88.31,1.84,https://finance.naver.com/item/main.nhn?code=051910,051910
8,LG생활건강,"1,434,000","10,000",-0.69%,"5,000","223,965","15,618",43.66,"73,381",32.65,20.32,https://finance.naver.com/item/main.nhn?code=051900,051900
9,현대차,"90,100","2,300",-2.49%,"5,000","192,515","213,668",34.34,"1,850,954",8.37,4.32,https://finance.naver.com/item/main.nhn?code=005380,005380
10,삼성SDI,"277,000","7,500",-2.64%,"5,000","190,478","68,765",42.12,"490,747",54.68,2.94,https://finance.naver.com/item/main.nhn?code=006400,006400
11,삼성물산,"98,700",0,0.00%,100,"187,224","189,690",14.47,"693,466",17.98,4.77,https://finance.naver.com/item/main.nhn?code=028260,028260
12,SK텔레콤,"209,500","6,000",-2.78%,500,"169,162","80,746",37.23,"289,610",19.01,3.92,https://finance.naver.com/item/main.nhn?code=017670,017670
