N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,Detail URL,CODE
1,삼성전자,"50,000",100,-0.20%,100,"2,984,891","5,969,783",55.23,"15,558,753",15.79,8.69,https://finance.naver.com/item/main.nhn?code=005930,005930
2,SK하이닉스,"83,700",300,+0.36%,"5,000","609,338","728,002",48.74,"3,723,101",30.27,4.25,https://finance.naver.com/item/main.nhn?code=000660,000660
3,삼성바이오로직스,"581,000","7,000",-1.19%,"2,500","384,419","66,165",10.42,"155,763",189.44,4.77,https://finance.naver.com/item/main.nhn?code=207940,207940
4,삼성전자우,"42,250",150,-0.35%,100,"347,670","822,887",88.63,"1,813,461",13.34,N/A,https://finance.naver.com/item/main.nhn?code=005935,005935
5,NAVER,"197,500",500,-0.25%,100,"324,420","164,263",57.90,"675,455",55.82,10.56,https://finance.naver.com/item/main.nhn?code=035420,035420
6,셀트리온,"210,500","1,500",+0.72%,"1,000","283,558","134,707",20.01,"647,746",95.21,11.19,https://finance.naver.com/item/main.nhn?code=068270,068270
7,LG화학,"376,500","14,000",+3.86%,"5,000","265,780","70,592",37.34,"563,602",94.05,1.84,https://finance.naver.com/item/main.nhn?code=051910,051910
8,LG생활건강,"1,386,000","15,000",+1.09%,"5,000","216,468","15,618",43.74,"38,176",31.56,20.32,https://finance.naver.com/item/main.nhn?code=051900,051900
9,삼성물산,"106,000","3,500",+3.41%,100,"201,071","189,690",14.48,"588,191",19.31,4.77,https://finance.naver.com/item/main.nhn?code=028260,028260
10,현대차,"93,600",400,+0.43%,"5,000","199,993","213,668",34.11,"1,182,577",8.70,4.32,https://finance.naver.com/item/main.nhn?code=005380,005380
11,삼성SDI,"286,000","6,500",+2.33%,"5,000","196,667","68,765",42.08,"631,698",56.45,2.94,https://finance.naver.com/item/main.nhn?code=006400,006400
12,SK텔레콤,"211,500","1,500",-0.70%,500,"170,777","80,746",37.16,"285,203",19.19,3.92,https://finance.naver.com/item/main.nhn?code=017670,017670
13,현대모비스,"172,000","4,500",+2.69%,"5,000","163,494","95,055",45.77,"329,699",7.21,7.28,https://finance.naver.com/item/main.nhn?code=012330,012330
14,POSCO,"184,500","7,000",+3.94%,"5,000","160,860","87,187",50.57,"611,739",8.77,4.18,https://finance.naver.com/item/main.nhn?code=005490,005490
15,카카오,"184,000","1,000",-0.54%,500,"160,001","86,957",30.63,"657,144",-51.32,-5.81,https://finance.naver.com/item/main.nhn?code=035720,035720
16,한국전력,"23,850",50,+0.21%,"5,000","153,108","641,964",22.31,"3,140,295",-6.53,-3.42,https://finance.naver.com/item/main.nhn?code=015760,015760
17,신한지주,"30,550",450,+1.50%,"5,000","147,383","482,432",63.83,"2,218,560",4.36,9.09,https://finance.naver.com/item/main.nhn?code=055550,055550
18,KB금융,"34,750",600,+1.76%,"5,000","144,493","415,808",65.99,"2,466,528",4.39,8.92,https://finance.naver.com/item/main.nhn?code=105560,105560
